2025-02-28 11:44:46.178 [info] Extension host with pid 4192 started
2025-02-28 11:44:46.178 [info] Skipping acquiring lock for /home/maguila/.config/Code - OSS/User/workspaceStorage/98c508b03a87fa437fed9d219d673ac4.
2025-02-28 11:44:46.241 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2025-02-28 11:44:46.249 [info] ExtensionService#_doActivateExtension auiworks.amvim, startup: true, activationEvent: '*'
2025-02-28 11:44:46.322 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2025-02-28 11:44:46.420 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2025-02-28 11:44:46.512 [info] Eager extensions activated
2025-02-28 11:44:46.544 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-02-28 11:44:46.547 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-02-28 11:44:46.570 [info] ExtensionService#_doActivateExtension Catppuccin.catppuccin-vsc, startup: false, activationEvent: 'onStartupFinished'
2025-02-28 11:44:46.578 [info] ExtensionService#_doActivateExtension Catppuccin.catppuccin-vsc-icons, startup: false, activationEvent: 'onStartupFinished'
2025-02-28 11:44:46.678 [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
2025-02-28 11:44:46.771 [info] ExtensionService#_doActivateExtension formulahendry.code-runner, startup: false, activationEvent: 'onStartupFinished'
2025-02-28 11:44:46.805 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onStartupFinished', root cause: GitHub.vscode-pull-request-github
2025-02-28 11:44:46.840 [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
2025-02-28 11:44:46.857 [info] ExtensionService#_doActivateExtension streetsidesoftware.code-spell-checker, startup: false, activationEvent: 'onStartupFinished'
2025-02-28 11:44:47.144 [info] ExtensionService#_doActivateExtension GitHub.vscode-pull-request-github, startup: false, activationEvent: 'onStartupFinished'
2025-02-28 11:44:47.372 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-02-28 11:44:47.457 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:jsonc'
2025-02-28 11:44:47.473 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2025-02-28 11:44:47.552 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2025-02-28 11:44:47.920 [error] Activating extension GitHub.vscode-pull-request-github failed due to an error:
2025-02-28 11:44:47.920 [error] Error: Extension 'GitHub.vscode-pull-request-github' CANNOT use API proposal: diffCommand.
Its package.json#enabledApiProposals-property declares:  but NOT diffCommand.
 The missing proposal MUST be added and you must start in extension development mode or use the following command line switch: --enable-proposed-api GitHub.vscode-pull-request-github
	at N (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:110:16858)
	at Object.registerDiffInformationCommand (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:172:36966)
	at G0 (/home/maguila/.vscode-oss/extensions/github.vscode-pull-request-github-0.104.1-universal/dist/extension.js:2213:2008)
	at N4 (/home/maguila/.vscode-oss/extensions/github.vscode-pull-request-github-0.104.1-universal/dist/extension.js:2556:4434)
	at O4 (/home/maguila/.vscode-oss/extensions/github.vscode-pull-request-github-0.104.1-universal/dist/extension.js:2556:9037)
	at async A4 (/home/maguila/.vscode-oss/extensions/github.vscode-pull-request-github-0.104.1-universal/dist/extension.js:2556:6046)
	at async aw.n (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:112:4447)
	at async aw.m (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:112:4410)
	at async aw.l (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:112:3866)
2025-02-28 11:45:01.210 [info] ExtensionService#_doActivateExtension vscode.html-language-features, startup: false, activationEvent: 'onLanguage:html'
2025-02-28 11:47:15.962 [info] Extension host terminating: renderer closed the MessagePort
2025-02-28 11:47:16.003 [error] Canceled: Canceled
	at new XR (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:29:110406)
	at Uy.U (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:29:115016)
	at s.<computed>.n.charCodeAt.s.<computed> (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:29:112510)
	at mw.g (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:112:32221)
	at mw.executeCommand (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:112:31725)
	at r.registerCommand.description (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:112:31055)
	at mw.h (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:112:32741)
	at mw.g (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:112:31818)
	at mw.executeCommand (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:112:31725)
	at Object.executeCommand (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:172:37254)
	at Ah.L [as value] (/usr/lib/code/extensions/git/dist/main.js:2:997602)
	at D.B (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:27:2373)
	at D.C (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:27:2443)
	at D.fire (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:27:2660)
	at Object.p [as dispose] (/usr/lib/code/extensions/git/dist/main.js:2:1020242)
	at /usr/lib/code/extensions/git/dist/main.js:2:1026621
	at Array.forEach (<anonymous>)
	at b.dispose (/usr/lib/code/extensions/git/dist/main.js:2:1026607)
	at cv.<anonymous> (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:106:20084)
	at cv.dispose (file:///usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:106:20180)
	at cv.<anonymous> (/usr/lib/code/extensions/git/dist/main.js:2:1000086)
